Vuosi,type,votes,seats,Suomen Sosialidemokraattinen Puolue,Perussuomalaiset,Kokoomus,Keskusta,Vihr,Vasemmistoliitto,Ruotsalainen Kansanpuolue,Kristillisdemokraatit,Liike Nyt,RR,Nuorsuomalaiset,Suomen Maaseudun Puolue,Eko-Vihr,Liberaali Kansanpuolue,Suomen Kansan Demokraattinen Liitto,Demokraattinen Vaihtoehto,Perustuslaillinen Oikeistopuolue,SKYP,TPSL,Suomen Kansanpuolue,Vapaamielisten Liitto,Kansallinen Edistyspuolue,IKL,PMP,SPP,Kansanpuolue,Ruotsalainen Vasemmisto,SSTP,KrTL
2019,euro,1,0,14.62,13.83,20.79,13.52,16,6.89,6.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,eduskunta,1,0,17.73,17.48,17,13.76,11.49,8.17,4.53,3.9,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,eduskunta,1,0,16.51,17.65,18.2,21.1,8.53,7.13,4.88,3.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,euro,1,0,12.31,12.87,22.59,19.67,9.33,9.32,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,eduskunta,1,0,19.1,19.05,20.38,15.76,7.25,8.13,4.28,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,euro,1,0,17.54,9.79,23.21,19.03,12.4,5.93,6.09,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,eduskunta,1,0,21.44,4.05,22.26,23.11,8.46,8.82,4.57,4.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,euro,1,0,21.16,0,23.71,23.37,10.43,9.13,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,eduskunta,1,0,24.47,1.57,18.55,24.69,8.01,9.93,4.61,5.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,euro,1,0,17.86,0,25.27,21.3,13.43,9.08,6.77,2.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,eduskunta,1,0,22.86,0.99,21.03,22.4,7.27,10.88,5.12,4.17,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,euro,1,0,21.45,0,20.17,24.36,7.59,10.51,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,eduskunta,1,0,28.25,0,17.89,19.85,6.52,11.16,5.14,2.96,0,0,2.81,1.3,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,eduskunta,1,0,22.12,0,19.31,24.83,6.82,10.08,5.48,3.05,0,0,0,4.85,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,eduskunta,1,0,24.14,0,23.13,17.62,4.03,0,5.3,2.58,0,0,0,6.32,0,0,9.39,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,eduskunta,1,0,26.71,0,22.12,17.63,1.47,0,4.61,3.03,0,0,0,0.69,0,0,13.46,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0
1979,eduskunta,1,0,23.89,0,21.65,17.29,0,0,4.23,4.78,0,0,0,4.58,0,3.68,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,eduskunta,1,0,24.86,0,18.37,17.63,0,0,4.66,3.29,0,0,0,3.59,0,4.35,18.89,0,1.58,1.65,0,0,0,0,0,0,0,0,0,0,0
1972,eduskunta,1,0,25.78,0,17.59,16.41,0,0,5.06,2.53,0,0,0,9.16,0,5.16,17.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,eduskunta,1,0,23.43,0,18.05,17.12,0,0,5.34,1.13,0,0,0,10.49,0,5.95,16.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,eduskunta,1,0,27.23,0,13.79,21.23,0,0,5.69,0,0,0,0,1.03,0,6.47,21.2,0,0,0,2.59,0,0,0,0,0,0,0,0,0,0
1962,eduskunta,1,0,19.5,0,15.06,22.95,0,0,6.11,0,0,0,0,0,0,0,22.02,0,0,0,4.36,6.34,0.52,0,0,0,0,0,0,0,0
1958,eduskunta,1,0,23.12,0,15.28,23.06,0,0,6.5,0,0,0,0,0,0,0,23.16,0,0,0,1.75,5.9,0,0,0,0,0,0,0,0,0
1954,eduskunta,1,0,26.25,0,12.8,24.1,0,0,6.76,0,0,0,0,0,0,0,21.57,0,0,0,0,7.88,0,0,0,0,0,0,0,0,0
1951,eduskunta,1,0,26.52,0,14.57,23.26,0,0,7.2,0,0,0,0,0,0,0,21.58,0,0,0,0,5.68,0,0,0,0,0,0,0,0,0
1948,eduskunta,1,0,26.32,0,17.04,24.24,0,0,7.34,0,0,0,0,0,0,0,19.98,0,0,0,0,0,0,3.91,0,0,0,0,0,0,0
1945,eduskunta,1,0,25.08,0,15.04,21.35,0,0,7.9,0,0,0,0,0,0,0,23.47,0,0,0,0,0,0,5.17,0,0,0,0,0.48,0,0
1939,eduskunta,1,0,39.77,0,13.58,22.86,0,0,9.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81,6.65,2.14,0,0,0,0,0
1936,eduskunta,1,0,38.59,0,10.36,22.41,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.28,8.34,0,1.97,0.63,0,0,0
1933,eduskunta,1,0,37.33,0,16.93,22.54,0,0,10.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.41,16.93,0,3.39,0.85,0,0,0
1930,eduskunta,1,0,34.16,0,18.05,27.28,0,0,10.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.83,0,0,1.85,0,0.82,0,0
1929,eduskunta,1,0,27.36,0,14.51,26.15,0,0,11.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,0,0,0,0,13.47,0
1927,eduskunta,1,0,28.3,0,17.74,22.56,0,0,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.77,0,0,0,0,0,12.08,0
1924,eduskunta,1,0,29.02,0,18.99,20.25,0,0,12.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,10.45,0
1922,eduskunta,1,0,25.06,0,18.15,20.27,0,0,12.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.21,0,0,0,0,0,14.81,0
1919,eduskunta,1,0,37.98,0,15.71,19.7,0,0,12.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.81,0,0,0,0,0,0,1.53
